0.13524,0.65466
0.037566,0.24413
0.0075131,0.012144
0.0075131,0.17753
0.0075131,0.10397
0.0075131,0.32562
0.0075131,0.10618
0.13524,0.051027
0.13524,1.1295
0.0022539,0.081151
0.13524,0.0031619
0.037566,0.081896
0.0075131,0.35888
0.0067618,0.066796
0.0075131,0.641
0.037566,0.22672
0.13524,0.027057
0.0022539,0.34592
0.0075131,0.35159
0.0075131,0.57584
0.037566,1.1133
0.0067618,0.10935
0.0075131,0.43835
0.037566,0.37428
0.0067618,0.20045
0.0067618,0.82724
0.0075131,0.15664
0.0075131,0.54173
0.0075131,0.14927
0.0067618,0.10078
