-9,4,4.7538
-8.9758,4,4.7538
-8.9516,4,4.7538
-8.9274,4,4.7538
-8.9032,4,4.7538
-8.879,4,4.7538
-8.8548,4,4.7538
-8.8306,4,4.7538
-8.8065,4,4.7538
-8.7823,4,4.7538
-8.7581,4,4.7538
-8.7339,4,4.7538
-8.7097,4,4.7538
-8.6855,4,4.7538
-8.6613,4,4.7538
-8.6371,4,4.7538
-8.6129,4,4.7538
-8.5887,4,4.7538
-8.5645,4,4.7538
-8.5403,4,4.7538
-8.5161,4,4.7538
-8.4919,4,4.7538
-8.4677,4,4.7538
-8.4435,4,4.7538
-8.4194,4,4.7538
-8.3952,4,4.7538
-8.371,4,4.7538
-8.3468,4,4.7538
-8.3226,4,4.7538
-8.2984,4,4.7538
-8.2742,4,4.7538
-8.25,4,4.7538
-8.2258,4,4.7537
-8.2016,4,4.7537
-8.1774,4,4.7537
-8.1532,4,4.7537
-8.129,4,4.7537
-8.1048,4,4.7537
-8.0806,4,4.7537
-8.0565,4,4.7537
-8.0323,4,4.7537
-8.0081,4,4.7537
-7.9839,4,4.7537
-7.9597,4,4.7537
-7.9355,4,4.7537
-7.9113,4,4.7537
-7.8871,4,4.7537
-7.8629,4,4.7537
-7.8387,4,4.7537
-7.8145,4,4.7537
-7.7903,4,4.7537
-7.7661,4,4.7537
-7.7419,4,4.7537
-7.7177,4,4.7536
-7.6935,4,4.7536
-7.6694,4,4.7536
-7.6452,4,4.7536
-7.621,4,4.7536
-7.5968,4,4.7536
-7.5726,4,4.7536
-7.5484,4,4.7536
-7.5242,4,4.7536
-7.5,4,4.7535
-7.4758,4,4.7535
-7.4516,4,4.7535
-7.4274,4,4.7535
-7.4032,4,4.7535
-7.379,4,4.7535
-7.3548,4,4.7534
-7.3306,4,4.7534
-7.3065,4,4.7534
-7.2823,4,4.7534
-7.2581,4,4.7534
-7.2339,4,4.7533
-7.2097,4,4.7533
-7.1855,4,4.7533
-7.1613,4,4.7532
-7.1371,4,4.7532
-7.1129,4,4.7532
-7.0887,4,4.7531
-7.0645,4,4.7531
-7.0403,4,4.7531
-7.0161,4,4.753
-6.9919,4,4.753
-6.9677,4,4.7529
-6.9435,4,4.7529
-6.9194,4,4.7528
-6.8952,4,4.7528
-6.871,4,4.7527
-6.8468,4,4.7527
-6.8226,4,4.7526
-6.7984,4,4.7525
-6.7742,4,4.7525
-6.75,4,4.7524
-6.7258,4,4.7523
-6.7016,4,4.7522
-6.6774,4,4.7521
-6.6532,4,4.752
-6.629,4,4.7519
-6.6048,4,4.7518
-6.5806,4,4.7517
-6.5565,4,4.7516
-6.5323,4,4.7515
-6.5081,4,4.7513
-6.4839,4,4.7512
-6.4597,4,4.751
-6.4355,4,4.7509
-6.4113,4,4.7507
-6.3871,4,4.7505
-6.3629,4,4.7503
-6.3387,4,4.7501
-6.3145,4,4.7499
-6.2903,4,4.7497
-6.2661,4,4.7495
-6.2419,4,4.7492
-6.2177,4,4.749
-6.1935,4,4.7487
-6.1694,4,4.7484
-6.1452,4,4.7481
-6.121,4,4.7478
-6.0968,4,4.7474
-6.0726,4,4.7471
-6.0484,4,4.7467
-6.0242,4,4.7463
-6,4,4.7458
-9,4.0645,4.7538
-8.9758,4.0645,4.7538
-8.9516,4.0645,4.7538
-8.9274,4.0645,4.7538
-8.9032,4.0645,4.7538
-8.879,4.0645,4.7538
-8.8548,4.0645,4.7538
-8.8306,4.0645,4.7538
-8.8065,4.0645,4.7538
-8.7823,4.0645,4.7538
-8.7581,4.0645,4.7538
-8.7339,4.0645,4.7538
-8.7097,4.0645,4.7538
-8.6855,4.0645,4.7538
-8.6613,4.0645,4.7538
-8.6371,4.0645,4.7538
-8.6129,4.0645,4.7538
-8.5887,4.0645,4.7538
-8.5645,4.0645,4.7538
-8.5403,4.0645,4.7538
-8.5161,4.0645,4.7538
-8.4919,4.0645,4.7538
-8.4677,4.0645,4.7538
-8.4435,4.0645,4.7538
-8.4194,4.0645,4.7538
-8.3952,4.0645,4.7538
-8.371,4.0645,4.7538
-8.3468,4.0645,4.7538
-8.3226,4.0645,4.7538
-8.2984,4.0645,4.7538
-8.2742,4.0645,4.7537
-8.25,4.0645,4.7537
-8.2258,4.0645,4.7537
-8.2016,4.0645,4.7537
-8.1774,4.0645,4.7537
-8.1532,4.0645,4.7537
-8.129,4.0645,4.7537
-8.1048,4.0645,4.7537
-8.0806,4.0645,4.7537
-8.0565,4.0645,4.7537
-8.0323,4.0645,4.7537
-8.0081,4.0645,4.7537
-7.9839,4.0645,4.7537
-7.9597,4.0645,4.7537
-7.9355,4.0645,4.7537
-7.9113,4.0645,4.7537
-7.8871,4.0645,4.7537
-7.8629,4.0645,4.7537
-7.8387,4.0645,4.7537
-7.8145,4.0645,4.7537
-7.7903,4.0645,4.7536
-7.7661,4.0645,4.7536
-7.7419,4.0645,4.7536
-7.7177,4.0645,4.7536
-7.6935,4.0645,4.7536
-7.6694,4.0645,4.7536
-7.6452,4.0645,4.7536
-7.621,4.0645,4.7536
-7.5968,4.0645,4.7536
-7.5726,4.0645,4.7536
-7.5484,4.0645,4.7535
-7.5242,4.0645,4.7535
-7.5,4.0645,4.7535
-7.4758,4.0645,4.7535
-7.4516,4.0645,4.7535
-7.4274,4.0645,4.7535
-7.4032,4.0645,4.7534
-7.379,4.0645,4.7534
-7.3548,4.0645,4.7534
-7.3306,4.0645,4.7534
-7.3065,4.0645,4.7533
-7.2823,4.0645,4.7533
-7.2581,4.0645,4.7533
-7.2339,4.0645,4.7533
-7.2097,4.0645,4.7532
